message,label
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Your OTP for payment of Rs 294 is 749485. Do not share this OTP with anyone.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Your statement for card ending XX96 is now ready to view on netbanking.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Your OTP for payment of Rs 4831 is 895338. Do not share this OTP with anyone.,0
Salary for the month has been processed and credited to your account XX49.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear customer, your credit card points worth Rs 50585 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
Your electricity bill of Rs 565 is due on 25th Oct. Pay via official app.,0
Salary for the month has been processed and credited to your account XX10.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Income Tax Refund of Rs 48095 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
"Dear customer, Rs 4391 credited to your account XX59 via NEFT from Employer Ltd.",0
Your OTP for payment of Rs 709 is 817675. Do not share this OTP with anyone.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Your electricity bill of Rs 2381 is due on 25th Oct. Pay via official app.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your OTP for payment of Rs 4406 is 938095. Do not share this OTP with anyone.,0
"URGENT: Suspicious transaction of Rs 38736 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your electricity bill of Rs 2580 is due on 25th Oct. Pay via official app.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear Customer, your HDFC Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
Your electricity bill of Rs 918 is due on 25th Oct. Pay via official app.,0
Thank you for dining with us! Here is your e-receipt for Rs 2963.,0
Your statement for card ending XX96 is now ready to view on netbanking.,0
Salary for the month has been processed and credited to your account XX50.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your statement for card ending XX67 is now ready to view on netbanking.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear customer, Rs 2786 credited to your account XX47 via NEFT from Employer Ltd.",0
Welcome to our service. Your order #95191 has been shipped via BlueDart.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR9381.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR5901.,0
Salary for the month has been processed and credited to your account XX36.,0
Welcome to our service. Your order #64172 has been shipped via BlueDart.,0
Salary for the month has been processed and credited to your account XX76.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
"URGENT: Suspicious transaction of Rs 29201 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your statement for card ending XX98 is now ready to view on netbanking.,0
"Dear customer, your credit card points worth Rs 31265 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
"Dear customer, Rs 4780 credited to your account XX90 via NEFT from Employer Ltd.",0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Welcome to our service. Your order #57953 has been shipped via BlueDart.,0
Income Tax Refund of Rs 16041 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Your OTP for payment of Rs 1996 is 402099. Do not share this OTP with anyone.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
